,species_name,coded_property_name,collapsed_data_minimum,collapsed_data_maximum,property_constraint,collapsed_data_value
0,Blysmus_compressus,inflorescence_length,1cm,2.2cm,,
1,Blysmus_compressus,inflorescence_width,0.4cm,0.9cm,,
2,Blysmus_compressus,leaf_width,1mm,3.5mm,,
3,Blysmus_compressus,plant_height,9cm,30cm,,tall
4,Blysmus_rufus,inflorescence_length,0.7cm,1.7cm,,
5,Blysmus_rufus,plant_height,3cm,20cm,,tall
6,Blysmus_sinocompressus,leaf_width,0.5mm;3mm;1.5mm;0.5mm,0.8mm;4mm;2.5mm;4mm,,
7,Blysmus_sinocompressus,plant_height,0.7mm;26cm;3mm;5cm;1mm;5cm;0.7mm,1mm;60cm;4mm;20cm;1.2mm;60cm;4mm,,tall;tall;tall;slender
8,Carex_adrienii,inflorescence_length,7mm,10mm,,longer than female part
9,Carex_adrienii,inflorescence_width,2mm,2.5mm,,
10,Carex_adrienii,leaf_width,2cm,3cm,,
11,Carex_adrienii,plant_height,30cm,50cm,,
12,Carex_aequialta,inflorescence_size,2cm;3cm,3cm;5cm,,
13,Carex_aequialta,leaf_width,3mm,4mm,,
14,Carex_aequialta,plant_height,30cm,60cm,,tall
15,Carex_agglomerata,inflorescence_size,1cm,1.5cm,terminal,1.5
16,Carex_agglomerata,leaf_width,2mm,6mm,,
17,Carex_agglomerata,plant_height,20cm,60cm,,tall;slender
18,Carex_alajica,inflorescence_size,1cm;1cm,1.5cm;1.5cm,,
19,Carex_alajica,leaf_width,1.5mm,2.5mm,,
20,Carex_alajica,plant_height,15cm,25cm,,tall
21,Carex_alba,inflorescence_size,1cm;5mm,1.5cm;10mm,,
22,Carex_alba,plant_height,15cm,30cm,,tall;slender
23,Carex_alliiformis,inflorescence_size,2.5cm;2.5cm,4cm;5.5cm,,
24,Carex_alliiformis,leaf_width,7mm,14mm,,
25,Carex_alliiformis,plant_height,25cm,45cm,,tall
26,Carex_alopecuroides,inflorescence_size,2cm;2cm,3cm;3cm,,
27,Carex_alopecuroides,leaf_width,2mm,4mm,,
28,Carex_alopecuroides,plant_height,30cm,60cm,,tall
29,Carex_alta,inflorescence_length,5mm,12mm,,
30,Carex_alta,leaf_width,2mm,3mm,,
31,Carex_alta,plant_height,40cm,80cm,,tall
32,Carex_altaica,inflorescence_length,5mm,15mm,,
33,Carex_altaica,inflorescence_size,1cm,1.5cm,,
34,Carex_altaica,inflorescence_width,5mm,6mm,,
35,Carex_altaica,leaf_width,3mm,4mm,,
36,Carex_altaica,plant_height,15cm;1mm,30cm;1.5mm,,tall
37,Carex_amgunensis,inflorescence_size,5mm;5mm,10mm;6mm,,
38,Carex_amgunensis,leaf_width,1mm,2mm,,
39,Carex_amgunensis,plant_height,15cm,35cm,,tall;slender
40,Carex_angarae,inflorescence_size,6mm;4mm,8mm;5mm,,
41,Carex_angarae,leaf_width,2mm,3mm,,
42,Carex_angarae,plant_height,30cm,60cm,,tall;slender
43,Carex_angustiutricula,inflorescence_size,2.5cm;1.5cm,5cm;3.5cm,,
44,Carex_angustiutricula,leaf_width,3mm,6mm,,
45,Carex_angustiutricula,plant_height,30cm,35cm,,
46,Carex_anningensis,inflorescence_length,0,1/2,,
47,Carex_anningensis,inflorescence_size,2.5cm;4mm,4cm;5mm,,
48,Carex_anningensis,plant_height,25cm,30cm,,tall;1.5;slender
